Faculty,Tribhuvan  University (TU),Kathmandu University (KU),Pokhara University (PoU),Purbanchal University (PU),Nepal Sanskrit University (NSU),B.P Koirala Institute of Health Science (BPKIHS),Total
Science and Technology,1946,156,274,1440,0,-,3816
Management,13200,374,721,1459,0,-,15754
Humanities & Social Sciences,12541,180,35,407,0,-,13163
Education,22259,108,-,1932,731,-,25030
Law,299,0,0,111,0,-,410
Engineering,-,175,347,-,0,-,522
Medicine,-,775,-,1287,0,164,2226
Forestry,-,-,-,-,-,-,0
Agriculture and Animal Science,-,-,-,-,-,-,0
Ayurved,-,0,0,0,103,-,103
Sanskrit,0,0,0,0,1091,-,1091
Total,50245,1768,1377,6636,1925,0,62115
