Faculty,Tribhuvan  University (TU),Kathmandu University (KU),Pokhara University (PoU),Purbanchal University (PU),Nepal Sanskrit University (NSU),B.P Koirala Institute of Health Science (BPKIHS),Total
Science and Technology,2196,149,690,276,-,-,3311
Management,14645,366,984,685,-,-,16680
Humanities & Social Sciences,12739,180,31,172,-,-,13122
Education,22261,89,-,680,-,-,23030
Law,301,-,-,61,-,-,362
Engineering,1471,175,-,587,-,-,2233
Medicine,938,775,-,908,-,-,2621
Forestry,107,-,-,-,-,-,107
Buddhism,10,-,-,-,-,-,10
Agriculture and Animal Science,77,-,-,-,-,-,77
Ayurved,-,-,-,-,-,-,-
Sanskrit,-,-,-,-,-,-,-
Total,54745,1734,1705,3369,-,-,61553
